Date,ETH_sent,LINK_sent,DOGE_sent,ADA_sent,BTC_carry,ETH_carry
2020-12-08,-0.063429679,-0.058614208,-0.050315608,-0.08684021,0.00029513014212469705,0.000250286
2020-12-09,0.032182773,0.003728565,-0.005088105,0.046764642,0.0002759123350592892,0.000240367
2020-12-10,0.024911189,0.011039498,0.016580525,0.041960337,0.00024933375472275187,0.00023009
2020-12-11,-0.0,-0.0,-0.0,-0.0,0.00023572974762895715,0.000227483
2020-12-12,0.0,0.0,0.0,0.0,0.0002741142387971631,0.000246629
2020-12-13,-0.039116436,-0.029896878,-0.030870398,-0.064893424,0.00035936762963322986,0.000330435
2020-12-14,-0.0,0.0,-0.0,0.0,0.00036500339979024364,0.000308699
2020-12-15,0.0,0.0,-0.0,-0.0,0.0003752556025887874,0.000312708
2020-12-16,0.0,0.0,0.0,0.0,0.00046194965330037963,0.000476158
2020-12-17,-0.008625862,0.004303154,-0.085117807,0.028840611,0.00046330458172488635,0.00047409
2020-12-18,-0.017199915,-0.00833258,-0.038347145,-0.010110324,0.00048530605962666034,0.000506488
2020-12-19,0.006372556,0.015203156,0.015802089,-0.004190077,0.0005552194993906458,0.000543412
2020-12-20,-0.0,0.0,0.0,-0.0,0.0004921043815583901,0.00047053
2020-12-21,-0.0,-0.0,0.0,-0.0,0.0004241076961348353,0.000378396
2020-12-22,0.0,0.0,-0.0,0.0,0.0004915711711470358,0.000401982
2020-12-23,-0.083337206,-0.158177079,-0.187209588,-0.137575277,0.00042993094047364945,0.000299283
2020-12-24,-0.044670036,-0.075183438,-0.199796398,-0.115474216,0.0004851486083053644,0.000332694
2020-12-25,0.0,0.0,-0.0,0.0,0.0004963911483281514,0.0004198
2020-12-26,0.0,0.0,-0.0,0.0,0.0005240430859232027,0.000487299
2020-12-27,-0.072119254,-0.043833525,-0.007483396,0.023766531,0.0005480727262593705,0.00053012
2020-12-28,-0.064026611,-0.064898926,-0.011914662,-0.130723095,0.0005437305106734695,0.000511962
2020-12-29,0.002174494,-0.021999234,-0.022038309,0.078527275,0.0005248312277530226,0.000482864
2020-12-30,0.0,0.0,0.0,-0.0,0.0005386149562378698,0.000499366
2020-12-31,0.021161754,0.047209268,-0.00985378,0.013964031,0.0004422383192395333,0.000408851
2021-01-01,-0.0,-0.0,0.0,-0.0,0.0004137383207182957,0.000387863
2021-01-02,0.060744859,0.036535842,0.616935155,0.013219676,0.0004677598566200053,0.000469222
2021-01-03,-0.233500801,-0.177963841,0.069373619,-0.150084256,0.0005529497467732451,0.000540076
2021-01-04,-0.06255412,0.043717008,0.00608718,-0.088740014,0.0005403214456907487,0.000490358
2021-01-05,0.054315331,0.030600508,0.021154996,0.138440974,0.0005311387181089499,0.00049379
2021-01-06,0.094403621,0.081166236,0.044146452,0.252627677,0.0005956036598948054,0.000572205
2021-01-07,-0.013520995,0.012069724,0.067085588,0.107033134,0.0006060569401479574,0.000639318
2021-01-08,0.006503422,0.024905805,0.000400331,-0.015286204,0.0004974791865453566,0.000575363
2021-01-09,0.047398891,0.274273896,0.044075833,0.084303886,0.000518776870357719,0.000555198
2021-01-10,-0.0,0.0,-0.0,-0.0,0.00045463149547590736,0.000486737
2021-01-11,-0.0,-0.0,-0.0,-0.0,0.0005064558733933928,0.000433132
2021-01-12,-0.034488274,-0.053638511,-0.08897092,0.046698059,0.0005409323937723151,0.000496336
2021-01-13,0.0,0.0,0.0,0.0,0.0005497307633215532,0.000536525
2021-01-14,0.0,0.0,0.0,-0.0,0.0005720617060429587,0.000548305
2021-01-15,0.052583827,0.071367605,0.004076151,0.033005651,0.0005144655286699397,0.000523631
2021-01-16,0.049501835,-0.001958305,-0.012383226,0.149930084,0.0005153024594969914,0.000566408
2021-01-17,-0.003755675,0.021401896,0.015128915,-0.082340892,0.0005053681947672099,0.000572234
2021-01-18,0.0,0.0,0.0,-0.0,0.0005913521264167098,0.00061022
2021-01-19,0.081537325,-0.003759884,-0.014862246,-0.010915158,0.0005554945165357116,0.00061747
2021-01-20,0.0,-0.0,0.0,0.0,0.00046522887618011196,0.000502307
2021-01-21,0.214675451,0.171382512,0.103609802,0.198166344,0.0003162565220698018,0.000313451
2021-01-22,0.103917479,0.049190435,0.041936829,0.124513265,0.00039857108696091846,0.000388243
2021-01-23,0.0,-0.0,0.0,-0.0,0.00041778829345833683,0.000442067
2021-01-24,0.0,0.0,0.0,0.0,0.00042854391634202004,0.000494829
2021-01-25,-0.0,-0.0,-0.0,-0.0,0.0004150362024982468,0.000419162
2021-01-26,0.035840414,-0.01121281,-0.012495569,0.000641044,0.00035790186020919515,0.000368262
2021-01-27,-0.0,-0.0,-0.0,-0.0,0.0002720081119874059,0.000260552
2021-01-28,0.0,0.0,0.0,0.0,0.0003240402225150044,0.00037771
2021-01-29,0.036775282,0.0056173,0.229295087,0.009918966,0.00048234916927454525,0.000499299
2021-01-30,0.001051658,-0.024247289,0.485146272,-0.04633165,0.00038971906121466887,0.000461266
2021-01-31,0.048697646,0.043421168,-0.269470535,0.054334351,0.0003448999444148858,0.000411928
2021-02-01,-0.045878102,-0.037311708,0.060803523,-0.17030867,0.0004064434184538643,0.000478158
2021-02-02,0.0,0.0,-0.0,0.0,0.0005438472364944486,0.000744264
2021-02-03,0.096171475,0.036037263,0.172733135,0.039018873,0.0006102585701693197,0.000757607
2021-02-04,0.042225059,0.058124108,-0.350644133,0.005787382,0.0006042162274457808,0.000703309
2021-02-05,0.0,0.0,-0.0,0.204757319,0.0005993580665659426,0.0007509
2021-02-06,-0.0,0.0,0.0,0.0,0.000677267370543976,0.000720736
2021-02-07,-0.039378927,-0.028763976,0.301250393,0.041147268,0.0005325512891515295,0.000546543
2021-02-08,-0.082461614,-0.084439502,-0.00990018,-0.02286506,0.0007091259491790129,0.000804517
