Date,ETH,BCH,DOGE,ADA
21/7/19,-0.012434571,,-0.01041557,-0.025063969
22/7/19,-0.0,,-0.0,-0.0
23/7/19,0.02339696,,0.047620625,0.066187215
24/7/19,0.0,,0.0,0.0
25/7/19,0.012998231,,-0.002961829,-0.004092775
26/7/19,0.001507022,,-0.004943095,-0.067556434
27/7/19,-0.054036754,,-0.026424266,-0.04458245
28/7/19,0.0,,-0.0,-0.0
29/7/19,0.003455543,,0.009677205,-0.016540349
30/7/19,0.006231142,,-0.00799313,0.009991757
31/7/19,0.0,,0.0,0.0
1/8/19,-0.0,,0.0,-0.0
2/8/19,0.0,,-0.0,-0.0
3/8/19,0.0,,-0.0,0.007475046
4/8/19,-0.001576826,,0.007832938,-0.029706025
5/8/19,-0.05162238,,-0.040441387,-0.006579556
6/8/19,-0.0,,-0.0,-0.0
7/8/19,-0.0,,0.0,-0.0
8/8/19,-0.0,,-0.0,0.0
9/8/19,-0.0,,-0.0,-0.0
10/8/19,-0.0,,-0.0,0.0
11/8/19,0.047017409,,0.013037449,0.051947556
12/8/19,-0.0,,-0.0,-0.0
13/8/19,-0.0,,-0.0,-0.0
14/8/19,0.112125396,,0.042456827,0.110689801
15/8/19,0.004958291,,-0.046921582,0.003598268
16/8/19,-0.0,,0.0,-0.0
17/8/19,0.0,,-0.0,0.0
18/8/19,0.0,,0.0,0.065737949
19/8/19,-0.040095131,,-0.031628097,0.01172626
20/8/19,-0.0,,-0.0,-0.0
21/8/19,-0.0,,-0.0,-0.0
22/8/19,0.01535234,,0.00227032,0.037709046
23/8/19,0.019096764,,0.007905775,0.009309924
24/8/19,-0.0,,-0.0,0.0
25/8/19,-0.0,,0.0,-0.0
26/8/19,0.011353764,,0.006534233,0.003026331
27/8/19,0.007608241,,0.01587759,-0.00482316
28/8/19,-0.0,,-0.0,-0.0
29/8/19,-0.023507105,,-0.02930568,-0.030322119
30/8/19,0.003022135,,-0.008420151,-0.005378767
31/8/19,0.018055597,,0.003226007,-0.000223539
1/9/19,-0.004849415,,0.003053065,-0.010789046
2/9/19,-0.041922478,,-0.05067936,-0.023672387
3/9/19,0.0,,-0.0,0.0
4/9/19,0.022803489,,0.01957056,0.02692888
5/9/19,-0.0,,-0.0,-0.0
6/9/19,0.027245509,,0.00842594,0.003836178
7/9/19,0.0,,-0.0,0.0
8/9/19,0.019899768,,0.001750565,0.012967547
9/9/19,0.003593845,,0.009563584,-0.004926646
10/9/19,0.004051622,,0.00684031,0.007291476
11/9/19,-0.00854539,,-0.0,-0.034822307
12/9/19,0.0,,0.0,0.0
13/9/19,0.0,,0.0,0.0
14/9/19,0.0,,0.0,0.0
15/9/19,0.004772519,,0.002806904,0.004728141
16/9/19,-0.042414124,,-0.002017749,-0.008114501
17/9/19,0.0,,0.0,0.0
18/9/19,0.0,,0.0,0.0
19/9/19,0.0,,0.0,-0.0
20/9/19,-0.010085193,,-0.021874706,0.004196878
21/9/19,0.013762109,,-0.0,0.014187355
